Circuit,Date,Pos,No,Driver,Car,Laps,Time/Retired,PTS
Yas Marina Circuit - Yas Marina,2018-11-25,5,77,Valtteri Bottas BOT,Mercedes,55,+47.957s,10
Yas Marina Circuit - Yas Marina,2018-11-25,6,55,Carlos Sainz SAI,Renault,55,+72.548s,8
Yas Marina Circuit - Yas Marina,2018-11-25,7,16,Charles Leclerc LEC,Sauber Ferrari,55,+90.789s,6
Yas Marina Circuit - Yas Marina,2018-11-25,8,11,Sergio Perez PER,Force India Mercedes,55,+91.275s,4
Yas Marina Circuit - Yas Marina,2018-11-25,9,8,Romain Grosjean GRO,Haas Ferrari,54,+1 lap,2
Yas Marina Circuit - Yas Marina,2018-11-25,10,20,Kevin Magnussen MAG,Haas Ferrari,54,+1 lap,1
Yas Marina Circuit - Yas Marina,2018-11-25,11,14,Fernando Alonso ALO,McLaren Renault,54,+1 lap,0
Yas Marina Circuit - Yas Marina,2018-11-25,12,28,Brendon Hartley HAR,Scuderia Toro Rosso Honda,54,+1 lap,0
Yas Marina Circuit - Yas Marina,2018-11-25,13,18,Lance Stroll STR,Williams Mercedes,54,+1 lap,0
Yas Marina Circuit - Yas Marina,2018-11-25,14,2,Stoffel Vandoorne VAN,McLaren Renault,54,+1 lap,0
Yas Marina Circuit - Yas Marina,2018-11-25,15,35,Sergey Sirotkin SIR,Williams Mercedes,54,+1 lap,0
Yas Marina Circuit - Yas Marina,2018-11-25,NC,10,Pierre Gasly GAS,Scuderia Toro Rosso Honda,46,DNF,0
Yas Marina Circuit - Yas Marina,2018-11-25,NC,31,Esteban Ocon OCO,Force India Mercedes,44,DNF,0
Yas Marina Circuit - Yas Marina,2018-11-25,NC,9,Marcus Ericsson ERI,Sauber Ferrari,24,DNF,0
Yas Marina Circuit - Yas Marina,2018-11-25,NC,7,Kimi Räikkönen RAI,Ferrari,6,DNF,0
Yas Marina Circuit - Yas Marina,2018-11-25,NC,27,Nico Hulkenberg HUL,Renault,0,DNF,0
