"Driver","Points"
"AIT",0
"ALB",226
"ALO",410
"BOT",1072
"DEV",2
"ERI",9
"FIT",0
"GAS",386
"GIO",21
"GRO",47
"HAM",2003.5
"HAR",4
"HUL",122
"KUB",1
"KVY",69
"LAT",9
"LAW",2
"LEC",1036
"MAG",101
"MAZ",0
"MSC",12
"NOR",606
"OCO",330
"PER",980
"PIA",82
"RAI",308
"RIC",497
"RUS",438
"SAI",823.5
"SAR",1
"SIR",1
"STR",222
"TSU",58
"VAN",12
"VER",2092.5
"VET",673
"ZHO",12
